ID,name,city,address,opening_hours,lat,lon,rating,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Кредит,Банкомат,Расположение,Вклад,load_time
136096492200,Альфа-Банк,Всеволожск,"Всеволожский просп., 29, Всеволожск","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",60.018569,30.646511,"4,2",74.0,77.0,76.0,56.0,,,,,2024-06-24 00:36:42
79899151431,Альфа-Банк,Нягань,"1, 1-й микрорайон, Нягань","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",62.145015,65.437157,"4,4",93.0,93.0,93.0,,,,,,2024-06-24 02:15:56
86418285260,Альфа-Банк,Богородск,"ул. Ленина, 189, Богородск","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",56.10417,43.5168,"4,6",94.0,93.0,93.0,,,,,,2024-06-24 05:39:36
166205304965,Альфа-Банк,Нарьян-Мар,"ул. имени В.И. Ленина, 19, Нарьян-Мар","'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-18:00, 'sat': выходной, 'sun': выходной",67.637811,53.0046,,,,,,,,,,2024-06-24 15:29:04
56586818540,Альфа-Банк,Кемерово,"просп. Ленина, 64А, Кемерово","'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.345268,86.106934,"5,0",90.0,86.0,89.0,90.0,91.0,,,100.0,2024-06-23 17:03:46
18035333170,Альфа-Банк,Кемерово,"Советский просп., 32, Кемерово","'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.3581,86.075412,"4,3",71.0,66.0,72.0,63.0,70.0,55.0,,93.0,2024-06-23 17:03:46
238730780400,Альфа-Банк,Кемерово,"бул. Строителей, 28, Кемерово","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",55.344797,86.167516,"4,6",86.0,86.0,90.0,80.0,88.0,80.0,,,2024-06-23 17:03:46
200684844802,Альфа-Банк,Богородицк,"ул. Коммунаров, 59, Богородицк","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",53.770338,38.131382,"4,6",95.0,94.0,93.0,90.0,100.0,,,,2024-06-24 06:17:28
114170656931,Альфа-Банк,Магадан,"просп. Карла Маркса, 36/20, Магадан","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",59.56443,150.80295,"4,3",85.0,84.0,86.0,82.0,,,,,2024-06-23 23:11:16
36123461819,Альфа-Банк,Северодвинск,"ул. Ломоносова, 64, Северодвинск","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",64.555848,39.812804,"4,3",68.0,68.0,65.0,45.0,,,,,2024-06-23 20:34:52
