city,address,rating,lat,lon
Белово,"ул. Доватора, 6, Белово","4,4",54.371852,86.362514
Белово,"ул. Ленина, 49, Белово","4,3",54.409378,86.30918
Белогорск,"Садовая ул., 18, Белогорск","4,3",50.92237,128.47201
Белогорск,"ул. Ленина, 55, Белогорск","4,5",50.92179,128.46778
Белореченск,"Красная ул., 65, Белореченск","4,4",44.764954,39.868159
Белореченск,"ул. Гоголя, 51, Белореченск","4,7",44.757229,39.870094
Белореченск,"ул. Ленина, 165, Белореченск","4,3",44.770916,39.86282
Бердск,"Вокзальная ул., 52, Бердск","4,2",54.761551,83.113689
Бердск,"ул. Красная Сибирь, 136, Бердск","4,5",54.747677,83.059294
Бердск,"ул. Кутузова, 2, Бердск","4,5",54.76532,83.086569
Бердск,"ул. Островского, 55, Бердск","4,4",54.759428,83.096228
Березники,"Юбилейная ул., 127, Березники","4,4",59.405865,56.844516
Березники,"Юбилейная ул., 40, Березники","4,3",59.411068,56.826243
Березники,"ул. Ивана Дощеникова, 22, Березники","4,6",59.427165,56.652415
Березники,"ул. Ломоносова, 151, Березники","4,3",59.418437,56.837087
Березники,"ул. Пятилетки, 114А, Березники","4,4",59.395812,56.844893
Березники,"ул. Пятилетки, 27, Березники","4,6",59.407039,56.798957
Березники,"ул. Пятилетки, 62, Березники","4,2",59.403867,56.815406
Бийск,"Ленинградская ул., 107, Бийск","4,3",52.513697,85.136686
Бийск,"Мирная ул., 3, поселок Сорокино, Бийск","4,4",52.441407,85.036277
Бийск,"Советская ул., 219, Бийск","4,4",52.512663,85.17098
Бийск,"Социалистическая ул., 34/1, Бийск","4,4",52.495207,85.141268
Бийск,"пер. Николая Липового, 72, Бийск","4,3",52.514071,85.149166
Бийск,"ул. Владимира Ленина, 153, Бийск","4,7",52.536052,85.205015
Бийск,"ул. Владимира Ленина, 244, Бийск","4,7",52.542814,85.221386
Бийск,"ул. Михаила Митрофанова, 12, Бийск","4,4",52.532811,85.181124
Бийск,"ул. имени Героя Советского Союза Васильева, 31, Бийск","4,3",52.510875,85.157417
Биробиджан,"Пионерская ул., 48, Биробиджан","4,4",48.79554,132.91395
Биробиджан,"Пионерская ул., 92, Биробиджан","4,3",48.80056,132.88695
Биробиджан,"ул. Шолом-Алейхема, 16, Биробиджан","4,5",48.79176,132.92937
Биробиджан,"ул. Шолом-Алейхема, 5, Биробиджан","4,3",48.78931,132.93331
Благовещенск,"1, посёлок Моховая Падь, квартал Литер, Благовещенск","4,3",50.36563,127.61716
Благовещенск,"Игнатьевское ш., 13, Благовещенск","4,6",50.29478,127.51581
Благовещенск,"Кольцевая ул., 34, микрорайон КПП, Благовещенск","4,4",50.30263,127.55011
Благовещенск,"Пионерская ул., 12, Благовещенск","4,4",50.25996,127.5306
Благовещенск,"Северная ул., 59, Благовещенск","4,6",50.27162,127.55867
Благовещенск,"ул. 50 лет Октября, 26, Благовещенск","4,4",50.26449,127.53425
Благовещенск,"ул. Калинина, 140, Благовещенск","4,3",50.29956,127.52791
Благовещенск,"ул. Ленина, 193, Благовещенск","4,4",50.26026,127.51264
Благовещенск,"ул. Ленина, 74, Благовещенск","4,6",50.25601,127.55012
Благовещенск,"ул. Ломоносова, 223, Благовещенск","4,3",50.27566,127.53117
Богданович,"7, 3-й квартал, Богданович","4,0",56.783294,62.046355
Богданович,"Партизанская ул., 19, Богданович","4,4",56.769199,62.052841
Богородицк,"ул. Луначарского, 1, Богородицк","4,5",53.773056,38.133727
Богородск,"ул. Ленина, 206А, Богородск","4,4",56.102709,43.513206
Бор,"Интернациональная ул., 30, Бор","4,3",56.362053,44.061852
Бор,"ул. Ленина, 157, Бор","4,6",56.357582,44.058351
Борисоглебск,"7, Северный микрорайон, Борисоглебск","4,2",51.37721,42.084084
Борисоглебск,"ул. Свободы, 176, Борисоглебск","4,5",51.365459,42.076154
Боровичи,"Коммунарная ул., 48, Боровичи","4,4",58.390781,33.909985
Боровичи,"Спасская площадь, 6, Боровичи","4,5",58.386408,33.898999
Боровичи,"Сушанская ул., 1В/2, Боровичи","4,2",58.403427,33.893944
Боровичи,"ул. Подбельского, 47, Боровичи","4,4",58.393797,33.916802
Братск,"Сосновая ул., 3Б, жилой район Гидростроитель, Братск","4,4",56.28487,101.89117
Братск,"просп. Ленина, 35, Братск","4,4",56.15129,101.63232
Братск,"ул. Баркова, 19А, Братск","4,3",56.15587,101.59218
Братск,"ул. Гидростроителей, 51, жилой район Падун, Братск","4,4",56.29207,101.7251
Братск,"ул. Крупской, 35А, Братск","4,4",56.17341,101.61614
Братск,"ул. Мечтателей, 1, жилой район Энергетик, Братск","4,4",56.31069,101.73865
Братск,"ул. Мира, 31, Братск","4,6",56.15484,101.62142
Братск,"ул. Обручева, 5, Братск","4,4",56.16150,101.62104
Братск,"ул. Холоднова, 4, жилой район Энергетик, Братск","4,4",56.30240,101.75393
Брянск,"Авиационная ул., 6, Брянск","4,5",53.256569,34.328371
Брянск,"Волгоградский пер., 2, Брянск","4,4",53.263254,34.411064
Брянск,"Киевская ул., 3А, Брянск","4,7",53.215581,34.398801
Брянск,"Литейная ул., 50А, Брянск","4,8",53.327481,34.284512
Брянск,"Московский просп., 81/1, Брянск","4,6",53.21371,34.427445
Брянск,"Почтовая ул., 108, Брянск","4,7",53.342226,34.310784
Брянск,"бул. Гагарина, 23, Брянск","4,5",53.243982,34.361272
Брянск,"городской округ Брянск, Бежицкий район, Харьковская улица, 4","4,7",53.306416,34.307739
Брянск,"просп. Ленина, 10Б, Брянск","4,7",53.236979,34.358693
Брянск,"просп. Ленина, 70, Брянск","4,6",53.250091,34.372859
Брянск,"просп. Станке Димитрова, 57, Брянск","4,8",53.231627,34.323862
Брянск,"ул. 3-го Интернационала, 1, Брянск","4,6",53.312414,34.306938
Брянск,"ул. Брянского Фронта, 4, Брянск","4,7",53.258147,34.32454
Брянск,"ул. Пушкина, 81, Брянск","4,6",53.275628,34.397274
Брянск,"ул. Ульянова, 127, Брянск","4,9",53.314999,34.279769
Брянск,"ул. Чернышевского, 72Б, Брянск","4,8",53.252544,34.442619
Бугульма,"ул. Ленина, 49, Бугульма","4,4",54.532237,52.819561
Бугульма,"ул. Мусы Джалиля, 22, Бугульма","4,7",54.537089,52.799345
Бугульма,"ул. Фридриха Энгельса, 29, Бугульма","4,4",54.537328,52.768742
Бузулук,"34, 2-й микрорайон, Бузулук","4,7",52.774466,52.247329
Бузулук,"Комсомольская ул., 100, Бузулук","4,8",52.788094,52.262007
Бузулук,"ул. 1-я Линия, 34, Бузулук","4,3",52.769274,52.273725
Бузулук,"ул. Гая, 62, Бузулук","4,6",52.797252,52.23828
Бузулук,"ул. Максима Горького, 48, Бузулук","4,7",52.793287,52.262698
Валуйки,"ул. 1 Мая, 30А, Валуйки","4,4",50.213368,38.101145
Валуйки,"ул. Максима Горького, 31А, Валуйки","4,6",50.21476,38.093241
Великие Луки,"Вокзальная ул., 11, Великие Луки","4,4",56.346846,30.559923
Великие Луки,"просп. Ленина, 41, Великие Луки","4,7",56.343342,30.522258
Великие Луки,"просп. Ленина, 48, Великие Луки","4,4",56.339585,30.531049
Великие Луки,"ул. Ставского, 19, Великие Луки","4,4",56.344884,30.497705
Великий Новгород,"51, микрорайон Кречевицы, Великий Новгород","4,0",58.615633,31.40477
Великий Новгород,"Большая Московская ул., 110/2, Великий Новгород","4,4",58.540866,31.304075
Великий Новгород,"Большая Санкт-Петербургская ул., 13, Великий Новгород","4,4",58.529655,31.270799
Великий Новгород,"Большая Санкт-Петербургская ул., 130, Великий Новгород","4,3",58.565196,31.279978
Великий Новгород,"Большая Санкт-Петербургская ул., 39, стр. 18, Великий Новгород","4,3",58.538121,31.264252
Великий Новгород,"Людогоща ул., 6/13, Софийская сторона, Великий Новгород","4,3",58.524406,31.267174
Великий Новгород,"Псковская ул., 13, Псковский район, Великий Новгород","4,4",58.515855,31.246099
Великий Новгород,"просп. Мира, 13, корп. 1, Великий Новгород","4,6",58.536678,31.234671
Великий Новгород,"просп. Мира, 32, корп. 1, Великий Новгород","4,4",58.531556,31.230137
Великий Новгород,"ул. Ломоносова, 14/20, Великий Новгород","4,5",58.535423,31.242059
Великий Новгород,"ул. Свободы, 29А, Западный район, Великий Новгород","4,4",58.541386,31.22631
Великий Новгород,"ул. Фёдоровский Ручей, 2/13, Великий Новгород","4,4",58.523655,31.28666
Верхняя Пышма,"Красноармейская ул., 3, Верхняя Пышма","4,3",56.968276,60.581718
Верхняя Пышма,"Успенский просп., 125, Верхняя Пышма","4,7",56.979954,60.548243
Верхняя Салда,"Парковая ул., 1, Верхняя Салда","4,0",58.054479,60.559305
Верхняя Салда,"ул. Энгельса, 61, Верхняя Салда","4,3",58.050471,60.558319
Верхняя Салда,"ул. Энгельса, 68А, Верхняя Салда","4,3",58.04714,60.581314
Видное,"Советская ул., 2Б, Видное","4,7",55.552378,37.701719
Видное,"Советская ул., 34А, Видное","4,9",55.548451,37.701602
Видное,"просп. Ленинского Комсомола, 3, Видное","4,8",55.547438,37.713749
Владивосток,"Луговая ул., 18, Владивосток","4,7",43.11210,131.93712
Владивосток,"Луговая ул., 69, Владивосток","4,3",43.12380,131.93891
Владивосток,"Океанский просп., 110А, Владивосток","4,4",43.13299,131.90687
Владивосток,"Океанский просп., 18, Владивосток","4,6",43.11905,131.88703
Владивосток,"Посьетская ул., 14, Владивосток","4,3",43.10926,131.87857
Владивосток,"Русская ул., 16, Владивосток","4,6",43.16613,131.9086
Владивосток,"Русская ул., 59/2, Владивосток","4,5",43.16939,131.92509
