,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Ипотека,load_time
10,sberbank/55379122761,СберБанк,"ул. Генерала Щербакова, 7, Мурманск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-17:00, 'sun': выходной, ",68.907869,33.088410,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,68,,,,,2024-08-05 10:04:13
11,sberbank/136471822930,СберБанк,"Кольский просп., 152, Мурманск",,"'mon': 10:00-18:30, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': 10:00-15:30, 'sun': выходной, ",68.915607,33.093531,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,56,,100,,,2024-08-05 10:04:13
12,sberbank/1060955937,СберБанк,"ул. Крупской, 4, Мурманск",,"'mon': 10:00-18:30, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': 10:30-16:00, 'sun': выходной, ",68.888071,33.095184,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,62,25,,,,2024-08-05 10:04:13
13,sberbank/1018623736,СберБанк,"Охотничий пер., 15, жилой район Абрам-Мыс, Мурманск",,"'mon': выходной, 'tue': 11:15-18:00, 'wed': 11:15-18:00, 'thu': выходной, 'fri': 11:15-18:00, 'sat': выходной, 'sun': выходной, ",68.976569,33.016626,"1,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 10:04:13
14,sberbank/149367193905,СберБанк,"Заводская ул., 13/1, жилой район Росляково, Мурманск",,"'mon': 10:15-18:00, 'tue': 10:15-18:00, 'wed': 10:15-18:00, 'thu': 10:15-18:00, 'fri': 10:30-18:00, 'sat': выходной, 'sun': выходной, ",69.052605,33.226176,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 10:04:13
15,sberbank/1022468933,СберБанк,"ул. Вице-адмирала Падорина, 5, Североморск",,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': 10:00-15:30, 'sun': выходной, ",69.067858,33.403476,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,83,,,,,2024-08-05 10:04:13
16,sberbank/1030016010,СберБанк,"ул. Капитана Елькина, 6, посёлок Сафоново-1, п. г. т. Сафоново",www.sberbank.com,"'mon': 10:00-18:00, 'tue': выходной, 'wed': выходной, 'thu': 10:00-18:00, 'fri': 10:00-17:45, 'sat': выходной, 'sun': выходной, ",69.032786,33.290163,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 10:04:13
17,sberbank/182363032393,СберБанк,"ул. Преображенского, 6, п. г. т. Сафоново",,"'mon': выходной, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",69.059049,33.294097,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 10:04:13
18,sberbank/21687300351,СберБанк,"ул. Авиаторов, 1, Североморск",www.sberbank.ru,"'mon': 09:45-18:00, 'tue': 09:45-18:00, 'wed': 09:45-18:00, 'thu': 09:45-18:00, 'fri': 09:45-17:45, 'sat': выходной, 'sun': выходной, ",69.054996,33.415272,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 10:04:13
19,sberbank/1019056704,СберБанк,"ул. Гальченко, 1, п. г. т. Молочный",www.sberbank.com,"'mon': выходной, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': 10:00-15:45, 'sun': выходной, ",68.854424,33.013500,"3,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 10:04:13
20,sberbank/1009392818,СберБанк,"Советская ул., 35, п. г. т. Мурмаши",,"'mon': 09:45-18:00, 'tue': 09:45-18:00, 'wed': 09:45-18:00, 'thu': 09:45-18:00, 'fri': 09:45-18:00, 'sat': выходной, 'sun': выходной, ",68.811807,32.810957,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 10:04:13
21,sberbank/1058901962,СберБанк,"Полярная ул., 4, п. г. т. Кильдинстрой",,"'mon': выходной, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': 10:30-16:00, 'sun': выходной, ",68.804406,33.099972,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 10:04:13
22,sberbank/1008820268,СберБанк,"Причальная ул., 18, п. г. т. Мурмаши",,"'mon': 10:00-18:00, 'tue': 10:00-18:00, 'wed': 10:00-18:00, 'thu': 10:00-18:00, 'fri': 10:00-17:45, 'sat': выходной, 'sun': выходной, ",68.829432,32.759340,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,2024-08-05 10:04:13
